"","value"
"69","would only make trouble, and wouldn’t do no good."
"70",""
"71","Now she had got a start, and she went on and told me all about the good"
"72","place. She said all a body would have to do there was to go around all"
"73","day long with a harp and sing, forever and ever. So I didn’t think much"
"74","of it. But I never said so. I asked her if she reckoned Tom Sawyer"
"75","would go there, and she said not by a considerable sight. I was glad"
"76","about that, because I wanted him and me to be together."
"77",""
"78","Miss Watson she kept pecking at me, and it got tiresome and lonesome."
"79","By-and-by they fetched the niggers in and had prayers, and then"
"80","everybody was off to bed. I went up to my room with a piece of candle,"
"81","and put it on the table. Then I set down in a chair by the window and"
"82","tried to think of something cheerful, but it warn’t no use. I felt so"
"83","lonesome I most wished I was dead. The stars were shining, and the"
"84","leaves rustled in the woods ever so mournful; and I heard an owl, away"
"85","off, who-whooing about somebody that was dead, and a whippowill and a"
"86","dog crying about somebody that was going to die; and the wind was"
"87","trying to whisper something to me, and I couldn’t make out what it was,"
"88","and so it made the cold shivers run over me. Then away out in the woods"
"89","I heard that kind of a sound that a ghost makes when it wants to tell"
"90","about something that’s on its mind and can’t make itself understood,"
"91","and so can’t rest easy in its grave, and has to go about that way every"
"92","night grieving. I got so down-hearted and scared I did wish I had some"
"93","company. Pretty soon a spider went crawling up my shoulder, and I"
"94","flipped it off and it lit in the candle; and before I could budge it"
"95","was all shriveled up. I didn’t need anybody to tell me that that was an"
"96","awful bad sign and would fetch me some bad luck, so I was scared and"
"97","most shook the clothes off of me. I got up and turned around in my"
"98","tracks three times and crossed my breast every time; and then I tied up"
"99","a little lock of my hair with a thread to keep witches away. But I"
"100","hadn’t no confidence. You do that when you’ve lost a horseshoe that"
"101","you’ve found, instead of nailing it up over the door, but I hadn’t ever"
"102","heard anybody say it was any way to keep off bad luck when you’d killed"
"103","a spider."
"104",""
"105","I set down again, a-shaking all over, and got out my pipe for a smoke;"
"106","for the house was all as still as death now, and so the widow wouldn’t"
"107","know. Well, after a long time I heard the clock away off in the town go"
"108","boom—boom—boom—twelve licks; and all still again—stiller than ever."
"109","Pretty soon I heard a twig snap down in the dark amongst the"
"110","trees—something was a stirring. I set still and listened. Directly I"
"111","could just barely hear a “_me-yow! me-yow!_” down there. That was good!"
"112","Says I, “_me-yow! me-yow!_” as soft as I could, and then I put out the"
"113","light and scrambled out of the window on to the shed. Then I slipped"
"114","down to the ground and crawled in among the trees, and, sure enough,"
"115","there was Tom Sawyer waiting for me."
"116",""
"117",""
"118",""
"119",""
"120","CHAPTER II."
"121",""
"122",""
"123","We went tiptoeing along a path amongst the trees back towards the end"
"124","of the widow’s garden, stooping down so as the branches wouldn’t scrape"
"125","our heads. When we was passing by the kitchen I fell over a root and"
"126","made a noise. We scrouched down and laid still. Miss Watson’s big"
"127","nigger, named Jim, was setting in the kitchen door; we could see him"
"128","pretty clear, because there was a light behind him. He got up and"
"129","stretched his neck out about a minute, listening. Then he says:"
"130",""
"131","“Who dah?”"
"132",""
"133","He listened some more; then he come tiptoeing down and stood right"
"134","between us; we could a touched him, nearly. Well, likely it was minutes"
"135","and minutes that there warn’t a sound, and we all there so close"
"136","together. There was a place on my ankle that got to itching, but I"
"137","dasn’t scratch it; and then my ear begun to itch; and next my back,"
"138","right between my shoulders. Seemed like I’d die if I couldn’t scratch."
"139","Well, I’ve noticed that thing plenty times since. If you are with the"
"140","quality, or at a funeral, or trying to go to sleep when you ain’t"
"141","sleepy—if you are anywheres where it won’t do for you to scratch, why"
"142","you will itch all over in upwards of a thousand places. Pretty soon Jim"
"143","says:"
"144",""
"145","“Say, who is you? Whar is you? Dog my cats ef I didn’ hear sumf’n."
"146","Well, I know what I’s gwyne to do: I’s gwyne to set down here and"
"147","listen tell I hears it agin.”"
"148",""
"149","So he set down on the ground betwixt me and Tom. He leaned his back up"
"150","against a tree, and stretched his legs out till one of them most"
"151","touched one of mine. My nose begun to itch. It itched till the tears"
"152","come into my eyes. But I dasn’t scratch. Then it begun to itch on the"
"153","inside. Next I got to itching underneath. I didn’t know how I was going"
"154","to set still. This miserableness went on as much as six or seven"
"155","minutes; but it seemed a sight longer than that. I was itching in"
"156","eleven different places now. I reckoned I couldn’t stand it more’n a"
"157","minute longer, but I set my teeth hard and got ready to try. Just then"
"158","Jim begun to breathe heavy; next he begun to snore—and then I was"
"159","pretty soon comfortable again."
"160",""
"161","Tom he made a sign to me—kind of a little noise with his mouth—and we"
"162","went creeping away on our hands and knees. When we was ten foot off Tom"
"163","whispered to me, and wanted to tie Jim to the tree for fun. But I said"
"164","no; he might wake and make a disturbance, and then they’d find out I"
"165","warn’t in. Then Tom said he hadn’t got candles enough, and he would"
"166","slip in the kitchen and get some more. I didn’t want him to try. I said"
"167","Jim might wake up and come. But Tom wanted to resk it; so we slid in"
"168","there and got three candles, and Tom laid five cents on the table for"
"169","pay. Then we got out, and I was in a sweat to get away; but nothing"
"170","would do Tom but he must crawl to where Jim was, on his hands and"
"171","knees, and play something on him. I waited, and it seemed a good while,"
"172","everything was so still and lonesome."
"173",""
"174","As soon as Tom was back we cut along the path, around the garden fence,"
"175","and by-and-by fetched up on the steep top of the hill the other side of"
"176","the house. Tom said he slipped Jim’s hat off of his head and hung it on"
"177","a limb right over him, and Jim stirred a little, but he didn’t wake."
"178","Afterwards Jim said the witches bewitched him and put him in a trance,"
"179","and rode him all over the State, and then set him under the trees"
"180","again, and hung his hat on a limb to show who done it. And next time"
"181","Jim told it he said they rode him down to New Orleans; and, after that,"
"182","every time he told it he spread it more and more, till by-and-by he"
"183","said they rode him all over the world, and tired him most to death, and"
"184","his back was all over saddle-boils. Jim was monstrous proud about it,"
"185","and he got so he wouldn’t hardly notice the other niggers. Niggers"
"186","would come miles to hear Jim tell about it, and he was more looked up"
"187","to than any nigger in that country. Strange niggers would stand with"
"188","their mouths open and look him all over, same as if he was a wonder."
"189","Niggers is always talking about witches in the dark by the kitchen"
"190","fire; but whenever one was talking and letting on to know all about"
"191","such things, Jim would happen in and say, “Hm! What you know ’bout"
"192","witches?” and that nigger was corked up and had to take a back seat."
"193","Jim always kept that five-center piece round his neck with a string,"
"194","and said it was a charm the devil give to him with his own hands, and"
"195","told him he could cure anybody with it and fetch witches whenever he"
"196","wanted to just by saying something to it; but he never told what it was"
"197","he said to it. Niggers would come from all around there and give Jim"
"198","anything they had, just for a sight of that five-center piece; but they"
"199","wouldn’t touch it, because the devil had had his hands on it. Jim was"
"200","most ruined for a servant, because he got stuck up on account of having"
"201","seen the devil and been rode by witches."
"202",""
"203","Well, when Tom and me got to the edge of the hilltop we looked away"
"204","down into the village and could see three or four lights twinkling,"
"205","where there was sick folks, maybe; and the stars over us was sparkling"
"206","ever so fine; and down by the village was the river, a whole mile"
"207","broad, and awful still and grand. We went down the hill and found Jo"
"208","Harper and Ben Rogers, and two or three more of the boys, hid in the"
"209","old tanyard. So we unhitched a skiff and pulled down the river two mile"
"210","and a half, to the big scar on the hillside, and went ashore."
"211",""
"212","We went to a clump of bushes, and Tom made everybody swear to keep the"
"213","secret, and then showed them a hole in the hill, right in the thickest"
"214","part of the bushes. Then we lit the candles, and crawled in on our"
"215","hands and knees. We went about two hundred yards, and then the cave"
"216","opened up. Tom poked about amongst the passages, and pretty soon ducked"
"217","under a wall where you wouldn’t a noticed that there was a hole. We"
"218","went along a narrow place and got into a kind of room, all damp and"
"219","sweaty and cold, and there we stopped. Tom says:"
"220",""
"221","“Now, we’ll start this band of robbers and call it Tom Sawyer’s Gang."
"222","Everybody that wants to join has got to take an oath, and write his"
"223","name in blood.”"
"224",""
"225","Everybody was willing. So Tom got out a sheet of paper that he had"
"226","wrote the oath on, and read it. It swore every boy to stick to the"
"227","band, and never tell any of the secrets; and if anybody done anything"
"228","to any boy in the band, whichever boy was ordered to kill that person"
"229","and his family must do it, and he mustn’t eat and he mustn’t sleep till"
"230","he had killed them and hacked a cross in their breasts, which was the"
"231","sign of the band. And nobody that didn’t belong to the band could use"
"232","that mark, and if he did he must be sued; and if he done it again he"
"233","must be killed. And if anybody that belonged to the band told the"
"234","secrets, he must have his throat cut, and then have his carcass burnt"
"235","up and the ashes scattered all around, and his name blotted off of the"
"236","list with blood and never mentioned again by the gang, but have a curse"
"237","put on it and be forgot forever."
"238",""
"239","Everybody said it was a real beautiful oath, and asked Tom if he got it"
"240","out of his own head. He said, some of it, but the rest was out of"
"241","pirate-books and robber-books, and every gang that was high-toned had"
"242","it."
"243",""
"244","Some thought it would be good to kill the _families_ of boys that told"
"245","the secrets. Tom said it was a good idea, so he took a pencil and wrote"
"246","it in. Then Ben Rogers says:"
"247",""
"248","“Here’s Huck Finn, he hain’t got no family; what you going to do ’bout"
"249","him?”"
"250",""
"251","“Well, hain’t he got a father?” says Tom Sawyer."
"252",""
"253","“Yes, he’s got a father, but you can’t never find him these days. He"
"254","used to lay drunk with the hogs in the tanyard, but he hain’t been seen"
"255","in these parts for a year or more.”"
"256",""
"257","They talked it over, and they was going to rule me out, because they"
"258","said every boy must have a family or somebody to kill, or else it"
"259","wouldn’t be fair and square for the others. Well, nobody could think of"
"260","anything to do—everybody was stumped, and set still. I was most ready"
"261","to cry; but all at once I thought of a way, and so I offered them Miss"
"262","Watson—they could kill her. Everybody said:"
"263",""
"264","“Oh, she’ll do. That’s all right. Huck can come in.”"
"265",""
"266","Then they all stuck a pin in their fingers to get blood to sign with,"
"267","and I made my mark on the paper."
"268",""
"269","“Now,” says Ben Rogers, “what’s the line of business of this Gang?”"
"270",""
"271","“Nothing only robbery and murder,” Tom said."
"272",""
"273","“But who are we going to rob?—houses, or cattle, or—”"
"274",""
"275","“Stuff! stealing cattle and such things ain’t robbery; it’s burglary,”"
"276","says Tom Sawyer. “We ain’t burglars. That ain’t no sort of style. We"
"277","are highwaymen. We stop stages and carriages on the road, with masks"
"278","on, and kill the people and take their watches and money.”"
"279",""
"280","“Must we always kill the people?”"
"281",""
"282","“Oh, certainly. It’s best. Some authorities think different, but mostly"
"283","it’s considered best to kill them—except some that you bring to the"
"284","cave here, and keep them till they’re ransomed.”"
"285",""
"286","“Ransomed? What’s that?”"
"287",""
"288","“I don’t know. But that’s what they do. I’ve seen it in books; and so"
"289","of course that’s what we’ve got to do.”"
"290",""
"291","“But how can we do it if we don’t know what it is?”"
"292",""
"293","“Why, blame it all, we’ve _got_ to do it. Don’t I tell you it’s in the"
"294","books? Do you want to go to doing different from what’s in the books,"
"295","and get things all muddled up?”"
"296",""
"297","“Oh, that’s all very fine to _say_, Tom Sawyer, but how in the nation"
"298","are these fellows going to be ransomed if we don’t know how to do it to"
"299","them?—that’s the thing _I_ want to get at. Now, what do you _reckon_ it"
"300","is?”"
"301",""
"302","“Well, I don’t know. But per’aps if we keep them till they’re ransomed,"
"303","it means that we keep them till they’re dead.”"
"304",""
"305","“Now, that’s something _like_. That’ll answer. Why couldn’t you said"
"306","that before? We’ll keep them till they’re ransomed to death; and a"
"307","bothersome lot they’ll be, too—eating up everything, and always trying"
"308","to get loose.”"
"309",""
"310","“How you talk, Ben Rogers. How can they get loose when there’s a guard"
"311","over them, ready to shoot them down if they move a peg?”"
"312",""
"313","“A guard! Well, that _is_ good. So somebody’s got to set up all night"
"314","and never get any sleep, just so as to watch them. I think that’s"
"315","foolishness. Why can’t a body take a club and ransom them as soon as"
"316","they get here?”"
"317",""
"318","“Because it ain’t in the books so—that’s why. Now, Ben Rogers, do you"
"319","want to do things regular, or don’t you?—that’s the idea. Don’t you"
"320","reckon that the people that made the books knows what’s the correct"
"321","thing to do? Do you reckon _you_ can learn ’em anything? Not by a good"
"322","deal. No, sir, we’ll just go on and ransom them in the regular way.”"
"323",""
"324","“All right. I don’t mind; but I say it’s a fool way, anyhow. Say, do we"
"325","kill the women, too?”"
"326",""
"327","“Well, Ben Rogers, if I was as ignorant as you I wouldn’t let on. Kill"
"328","the women? No; nobody ever saw anything in the books like that. You"
"329","fetch them to the cave, and you’re always as polite as pie to them; and"
"330","by-and-by they fall in love with you, and never want to go home any"
"331","more.”"
"332",""
"333","“Well, if that’s the way I’m agreed, but I don’t take no stock in it."
"334","Mighty soon we’ll have the cave so cluttered up with women, and fellows"
"335","waiting to be ransomed, that there won’t be no place for the robbers."
"336","But go ahead, I ain’t got nothing to say.”"
"337",""
"338","Little Tommy Barnes was asleep now, and when they waked him up he was"
"339","scared, and cried, and said he wanted to go home to his ma, and didn’t"
"340","want to be a robber any more."
"341",""
"342","So they all made fun of him, and called him cry-baby, and that made him"
"343","mad, and he said he would go straight and tell all the secrets. But Tom"
"344","give him five cents to keep quiet, and said we would all go home and"
"345","meet next week, and rob somebody and kill some people."
"346",""
"347","Ben Rogers said he couldn’t get out much, only Sundays, and so he"
"348","wanted to begin next Sunday; but all the boys said it would be wicked"
"349","to do it on Sunday, and that settled the thing. They agreed to get"
"350","together and fix a day as soon as they could, and then we elected Tom"
"351","Sawyer first captain and Jo Harper second captain of the Gang, and so"
"352","started home."
"353",""
"354","I clumb up the shed and crept into my window just before day was"
"355","breaking. My new clothes was all greased up and clayey, and I was"
"356","dog-tired."
"357",""
"358",""
"359",""
"360",""
"361","CHAPTER III."
"362",""
"363",""
"364","Well, I got a good going-over in the morning from old Miss Watson on"
"365","account of my clothes; but the widow she didn’t scold, but only cleaned"
"366","off the grease and clay, and looked so sorry that I thought I would"
"367","behave a while if I could. Then Miss Watson she took me in the closet"
"368","and prayed, but nothing come of it. She told me to pray every day, and"
"369","whatever I asked for I would get it. But it warn’t so. I tried it. Once"
"370","I got a fish-line, but no hooks. It warn’t any good to me without"
"371","hooks. I tried for the hooks three or four times, but somehow I"
"372","couldn’t make it work. By-and-by, one day, I asked Miss Watson to try"
"373","for me, but she said I was a fool. She never told me why, and I"
"374","couldn’t make it out no way."
"375",""
"376","I set down one time back in the woods, and had a long think about it. I"
"377","says to myself, if a body can get anything they pray for, why don’t"
"378","Deacon Winn get back the money he lost on pork? Why can’t the widow get"
"379","back her silver snuffbox that was stole? Why can’t Miss Watson fat up?"
"380","No, says I to myself, there ain’t nothing in it. I went and told the"
"381","widow about it, and she said the thing a body could get by praying for"
"382","it was “spiritual gifts.” This was too many for me, but she told me"
"383","what she meant—I must help other people, and do everything I could for"
"384","other people, and look out for them all the time, and never think about"
"385","myself. This was including Miss Watson, as I took it. I went out in the"
"386","woods and turned it over in my mind a long time, but I couldn’t see no"
"387","advantage about it—except for the other people; so at last I reckoned I"
"388","wouldn’t worry about it any more, but just let it go. Sometimes the"
"389","widow would take me one side and talk about Providence in a way to make"
"390","a body’s mouth water; but maybe next day Miss Watson would take hold"
"391","and knock it all down again. I judged I could see that there was two"
"392","Providences, and a poor chap would stand considerable show with the"
"393","widow’s Providence, but if Miss Watson’s got him there warn’t no help"
"394","for him any more. I thought it all out, and reckoned I would belong to"
"395","the widow’s if he wanted me, though I couldn’t make out how he was"
"396","a-going to be any better off then than what he was before, seeing I was"
"397","so ignorant, and so kind of low-down and ornery."
"398",""
"399","Pap he hadn’t been seen for more than a year, and that was comfortable"
"400","for me; I didn’t want to see him no more. He used to always whale me"
"401","when he was sober and could get his hands on me; though I used to take"
"402","to the woods most of the time when he was around. Well, about this time"
"403","he was found in the river drownded, about twelve mile above town, so"
"404","people said. They judged it was him, anyway; said this drownded man was"
"405","just his size, and was ragged, and had uncommon long hair, which was"
"406","all like pap; but they couldn’t make nothing out of the face, because"
"407","it had been in the water so long it warn’t much like a face at all."
"408","They said he was floating on his back in the water. They took him and"
"409","buried him on the bank. But I warn’t comfortable long, because I"
"410","happened to think of something. I knowed mighty well that a drownded"
"411","man don’t float on his back, but on his face. So I knowed, then, that"
"412","this warn’t pap, but a woman dressed up in a man’s clothes. So I was"
"413","uncomfortable again. I judged the old man would turn up again"
"414","by-and-by, though I wished he wouldn’t."
"415",""
"416","We played robber now and then about a month, and then I resigned. All"
"417","the boys did. We hadn’t robbed nobody, hadn’t killed any people, but"
"418","only just pretended. We used to hop out of the woods and go charging"
"419","down on hog-drivers and women in carts taking garden stuff to market,"
"420","but we never hived any of them. Tom Sawyer called the hogs “ingots,”"
"421","and he called the turnips and stuff “julery,” and we would go to the"
"422","cave and powwow over what we had done, and how many people we had"
"423","killed and marked. But I couldn’t see no profit in it. One time Tom"
"424","sent a boy to run about town with a blazing stick, which he called a"
"425","slogan (which was the sign for the Gang to get together), and then he"
"426","said he had got secret news by his spies that next day a whole parcel"
"427","of Spanish merchants and rich A-rabs was going to camp in Cave Hollow"
"428","with two hundred elephants, and six hundred camels, and over a thousand"
"429","“sumter” mules, all loaded down with di’monds, and they didn’t have"
"430","only a guard of four hundred soldiers, and so we would lay in"
"431","ambuscade, as he called it, and kill the lot and scoop the things. He"
"432","said we must slick up our swords and guns, and get ready. He never"
"433","could go after even a turnip-cart but he must have the swords and guns"
"434","all scoured up for it, though they was only lath and broomsticks, and"
"435","you might scour at them till you rotted, and then they warn’t worth a"
"436","mouthful of ashes more than what they was before. I didn’t believe we"
"437","could lick such a crowd of Spaniards and A-rabs, but I wanted to see"
"438","the camels and elephants, so I was on hand next day, Saturday, in the"
"439","ambuscade; and when we got the word we rushed out of the woods and down"
"440","the hill. But there warn’t no Spaniards and A-rabs, and there warn’t no"
"441","camels nor no elephants. It warn’t anything but a Sunday-school picnic,"
"442","and only a primer-class at that. We busted it up, and chased the"
"443","children up the hollow; but we never got anything but some doughnuts"
"444","and jam, though Ben Rogers got a rag doll, and Jo Harper got a"
"445","hymn-book and a tract; and then the teacher charged in, and made us"
"446","drop everything and cut."
"447",""
"448","I didn’t see no di’monds, and I told Tom Sawyer so. He said there was"
"449","loads of them there, anyway; and he said there was A-rabs there, too,"
"450","and elephants and things. I said, why couldn’t we see them, then? He"
"451","said if I warn’t so ignorant, but had read a book called Don Quixote, I"
"452","would know without asking. He said it was all done by enchantment. He"
"453","said there was hundreds of soldiers there, and elephants and treasure,"
"454","and so on, but we had enemies which he called magicians; and they had"
"455","turned the whole thing into an infant Sunday-school, just out of spite."
"456","I said, all right; then the thing for us to do was to go for the"
"457","magicians. Tom Sawyer said I was a numskull."
"458",""
"459","“Why,” said he, “a magician could call up a lot of genies, and they"
"460","would hash you up like nothing before you could say Jack Robinson. They"
"461","are as tall as a tree and as big around as a church.”"
"462",""
"463","“Well,” I says, “s’pose we got some genies to help _us_—can’t we lick"
"464","the other crowd then?”"
"465",""
"466","“How you going to get them?”"
"467",""
"468","“I don’t know. How do _they_ get them?”"
"469",""
"470","“Why, they rub an old tin lamp or an iron ring, and then the genies"
"471","come tearing in, with the thunder and lightning a-ripping around and"
"472","the smoke a-rolling, and everything they’re told to do they up and do"
"473","it. They don’t think nothing of pulling a shot-tower up by the roots,"
"474","and belting a Sunday-school superintendent over the head with it—or any"
"475","other man.”"
"476",""
"477","“Who makes them tear around so?”"
"478",""
"479","“Why, whoever rubs the lamp or the ring. They belong to whoever rubs"
"480","the lamp or the ring, and they’ve got to do whatever he says. If he"
"481","tells them to build a palace forty miles long out of di’monds, and fill"
"482","it full of chewing-gum, or whatever you want, and fetch an emperor’s"
"483","daughter from China for you to marry, they’ve got to do it—and they’ve"
"484","got to do it before sun-up next morning, too. And more: they’ve got to"
"485","waltz that palace around over the country wherever you want it, you"
"486","understand.”"
"487",""
"488","“Well,” says I, “I think they are a pack of flat-heads for not keeping"
"489","the palace themselves ’stead of fooling them away like that. And what’s"
"490","more—if I was one of them I would see a man in Jericho before I would"
"491","drop my business and come to him for the rubbing of an old tin lamp.”"
"492",""
"493","“How you talk, Huck Finn. Why, you’d _have_ to come when he rubbed it,"
"494","whether you wanted to or not.”"
"495",""
"496","“What! and I as high as a tree and as big as a church? All right, then;"
"497","I _would_ come; but I lay I’d make that man climb the highest tree"
"498","there was in the country.”"
"499",""
"500","“Shucks, it ain’t no use to talk to you, Huck Finn. You don’t seem to"
"501","know anything, somehow—perfect saphead.”"
"502",""
"503","I thought all this over for two or three days, and then I reckoned I"
"504","would see if there was anything in it. I got an old tin lamp and an"
"505","iron ring, and went out in the woods and rubbed and rubbed till I sweat"
"506","like an Injun, calculating to build a palace and sell it; but it warn’t"
"507","no use, none of the genies come. So then I judged that all that stuff"
"508","was only just one of Tom Sawyer’s lies. I reckoned he believed in the"
"509","A-rabs and the elephants, but as for me I think different. It had all"
"510","the marks of a Sunday-school."
"511",""
"512",""
"513",""
"514",""
"515","CHAPTER IV."
"516",""
"517",""
"518","Well, three or four months run along, and it was well into the winter"
"519","now. I had been to school most all the time and could spell and read"
"520","and write just a little, and could say the multiplication table up to"
"521","six times seven is thirty-five, and I don’t reckon I could ever get any"
"522","further than that if I was to live forever. I don’t take no stock in"
"523","mathematics, anyway."
"524",""
"525","At first I hated the school, but by-and-by I got so I could stand it."
"526","Whenever I got uncommon tired I played hookey, and the hiding I got"
"527","next day done me good and cheered me up. So the longer I went to school"
"528","the easier it got to be. I was getting sort of used to the widow’s"
"529","ways, too, and they warn’t so raspy on me. Living in a house and"
"530","sleeping in a bed pulled on me pretty tight mostly, but before the cold"
"531","weather I used to slide out and sleep in the woods sometimes, and so"
"532","that was a rest to me. I liked the old ways best, but I was getting so"
"533","I liked the new ones, too, a little bit. The widow said I was coming"
"534","along slow but sure, and doing very satisfactory. She said she warn’t"
"535","ashamed of me."
"536",""
"537","One morning I happened to turn over the salt-cellar at breakfast. I"
"538","reached for some of it as quick as I could to throw over my left"
"539","shoulder and keep off the bad luck, but Miss Watson was in ahead of me,"
"540","and crossed me off. She says, “Take your hands away, Huckleberry; what"
"541","a mess you are always making!” The widow put in a good word for me, but"
"542","that warn’t going to keep off the bad luck, I knowed that well enough."
"543","I started out, after breakfast, feeling worried and shaky, and"
"544","wondering where it was going to fall on me, and what it was going to"
"545","be. There is ways to keep off some kinds of bad luck, but this wasn’t"
"546","one of them kind; so I never tried to do anything, but just poked along"
"547","low-spirited and on the watch-out."
"548",""
"549","I went down to the front garden and clumb over the stile where you go"
"550","through the high board fence. There was an inch of new snow on the"
"551","ground, and I seen somebody’s tracks. They had come up from the quarry"
"552","and stood around the stile a while, and then went on around the garden"
"553","fence. It was funny they hadn’t come in, after standing around so. I"
"554","couldn’t make it out. It was very curious, somehow. I was going to"
"555","follow around, but I stooped down to look at the tracks first. I didn’t"
"556","notice anything at first, but next I did. There was a cross in the left"
"557","boot-heel made with big nails, to keep off the devil."
"558",""
"559","I was up in a second and shinning down the hill. I looked over my"
"560","shoulder every now and then, but I didn’t see nobody. I was at Judge"
"561","Thatcher’s as quick as I could get there. He said:"
"562",""
"563","“Why, my boy, you are all out of breath. Did you come for your"
"564","interest?”"
"565",""
"566","“No, sir,” I says; “is there some for me?”"
"567",""
"568","“Oh, yes, a half-yearly is in, last night—over a hundred and fifty"
"569","dollars. Quite a fortune for you. You had better let me invest it along"
"570","with your six thousand, because if you take it you’ll spend it.”"
"571",""
"572","“No, sir,” I says, “I don’t want to spend it. I don’t want it at"
"573","all—nor the six thousand, nuther. I want you to take it; I want to give"
"574","it to you—the six thousand and all.”"
"575",""
"576","He looked surprised. He couldn’t seem to make it out. He says:"
"577",""
"578","“Why, what can you mean, my boy?”"
"579",""
"580","I says, “Don’t you ask me no questions about it, please. You’ll take"
"581","it—won’t you?”"
"582",""
"583","He says:"
"584",""
"585","“Well, I’m puzzled. Is something the matter?”"
"586",""
"587","“Please take it,” says I, “and don’t ask me nothing—then I won’t have"
"588","to tell no lies.”"
"589",""
"590","He studied a while, and then he says:"
"591",""
"592","“Oho-o! I think I see. You want to _sell_ all your property to me—not"
"593","give it. That’s the correct idea.”"
"594",""
"595","Then he wrote something on a paper and read it over, and says:"
"596",""
"597","“There; you see it says ‘for a consideration.’ That means I have bought"
"598","it of you and paid you for it. Here’s a dollar for you. Now you sign"
"599","it.”"
"600",""
"601","So I signed it, and left."
"602",""
"603","Miss Watson’s nigger, Jim, had a hair-ball as big as your fist, which"
"604","had been took out of the fourth stomach of an ox, and he used to do"
"605","magic with it. He said there was a spirit inside of it, and it knowed"
"606","everything. So I went to him that night and told him pap was here"
"607","again, for I found his tracks in the snow. What I wanted to know was,"
"608","what he was going to do, and was he going to stay? Jim got out his"
"609","hair-ball and said something over it, and then he held it up and"
"610","dropped it on the floor. It fell pretty solid, and only rolled about an"
"611","inch. Jim tried it again, and then another time, and it acted just the"
"612","same. Jim got down on his knees, and put his ear against it and"
"613","listened. But it warn’t no use; he said it wouldn’t talk. He said"
"614","sometimes it wouldn’t talk without money. I told him I had an old slick"
"615","counterfeit quarter that warn’t no good because the brass showed"
